structureid,annual_electricity_generation_k,first_year_bill_savings,system_size,payback_period,annual_ghg_reduction_kg,roof_size800k,system_cost
95 Burlingame Rd Structure 1,2381,373,2.070434783,10,167,20,6200
16 Westleigh Cres Structure 1,6230,975,5.417391304,9,436,45,14600
14 Westleigh Cres Structure 1,5856,916,5.092173913,9,410,48,13700
12 Westleigh Cres Structure 1,4373,684,3.802608696,10,306,39,11400
98 Burlingame Rd Structure 1,5472,856,4.75826087,10,383,48,14300
98 Burlingame Rd Structure 2,1563,245,1.359130435,10,109,13,4100
93 Burlingame Rd Structure 1,5446,852,4.735652174,10,381,48,14200
100 Burlingame Rd Structure 1,4432,694,3.853913043,10,310,37,11600
100 Burlingame Rd Structure 2,1305,204,1.134782609,10,91,10,3400
578 Horner Ave Structure 1,2046,320,1.779130435,10,143,18,5300
96 Burlingame Rd Structure 2,3033,475,2.637391304,10,212,24,7900
589 Horner Ave Structure 2,1760,275,1.530434783,10,123,14,4600
574 Horner Ave Structure 1,4300,673,3.739130435,10,301,36,11200
587 Horner Ave Structure 1,4493,703,3.906956522,10,315,37,11700
94 Burlingame Rd Structure 1,3357,525,2.919130435,10,235,28,8800
10 Westleigh Cres Structure 1,6261,980,5.444347826,9,438,52,14700
8 Westleigh Cres Structure 1,5274,825,4.586086957,10,369,46,13800
10 Woodbury Pl Structure 1,4199,657,3.651304348,10,294,30,11000
13 Woodbury Pl Structure 2,1698,266,1.476521739,10,119,14,4400
12 Woodbury Pl Structure 1,4468,699,3.885217391,10,313,36,11700
11 Westleigh Cres Structure 1,1455,228,1.265217391,10,102,12,3800
9 Westleigh Cres Structure 1,1191,186,1.035652174,10,83,10,3100
15 Westleigh Cres Structure 1,4537,710,3.945217391,10,318,35,11800
17 Westleigh Cres Structure 1,3611,565,3.14,10,253,26,9400
19 Westleigh Cres Structure 1,4577,716,3.98,10,320,35,11900
25 Westleigh Cres Structure 1,1926,301,1.674782609,10,135,16,5000
27 Westleigh Cres Structure 1,1816,284,1.579130435,10,127,15,4700
29 Westleigh Cres Structure 1,4340,679,3.773913043,10,304,35,11300
33 Westleigh Cres Structure 1,2954,462,2.568695652,10,207,24,7700
33 Westleigh Cres Structure 2,1340,210,1.165217391,10,94,11,3500
31 Westleigh Cres Structure 1,2177,341,1.893043478,10,152,18,5700
52 Westleigh Cres Structure 1,4851,759,4.21826087,10,340,34,12700
35 Westleigh Cres Structure 1,3949,618,3.433913043,10,276,30,10300
54 Westleigh Cres Structure 1,5000,782,4.347826087,10,350,40,13000
56 Westleigh Cres Structure 1,4926,771,4.283478261,10,345,41,12900
39 Westleigh Cres Structure 1,4131,647,3.592173913,10,289,29,10800
39 Westleigh Cres Structure 2,2047,320,1.78,10,143,17,5300
37 Westleigh Cres Structure 1,3163,495,2.750434783,10,221,23,8300
41 Westleigh Cres Structure 1,2656,416,2.309565217,10,186,22,6900
58 Westleigh Cres Structure 1,3368,527,2.928695652,10,236,22,8800
60 Westleigh Cres Structure 1,3632,568,3.15826087,10,254,24,9500
60 Westleigh Cres Structure 2,3419,535,2.973043478,10,239,27,8900
62 Westleigh Cres Structure 1,3561,557,3.096521739,10,249,23,9300
62 Westleigh Cres Structure 2,4023,630,3.49826087,10,282,32,10500
47 Westleigh Cres Structure 1,2812,440,2.445217391,10,197,21,7300
45 Westleigh Cres Structure 1,2319,363,2.016521739,10,162,19,6000
45 Westleigh Cres Structure 2,3751,587,3.26173913,10,263,29,9800
43 Westleigh Cres Structure 1,2332,365,2.0278260870000002,10,163,19,6100
7 Woodbury Pl Structure 1,2356,369,2.048695652,10,165,19,6100
5 Westleigh Cres Structure 1,2324,364,2.020869565,10,163,19,6100
8 Woodbury Pl Structure 1,4670,731,4.060869565,10,327,30,12200
6 Woodbury Pl Structure 1,4451,697,3.870434783,10,312,30,11600
6 Woodbury Pl Structure 2,5183,811,4.506956522,10,363,40,13500
49 Westleigh Cres Structure 1,3938,616,3.424347826,10,276,28,10300
49 Westleigh Cres Structure 2,3218,504,2.79826087,10,225,25,8400
5 Woodbury Pl Structure 1,3140,491,2.730434783,10,220,22,8200
4 Woodbury Pl Structure 1,4935,772,4.291304348,10,345,33,12900
3 Woodbury Pl Structure 1,3267,511,2.840869565,10,229,22,8500
51 Westleigh Cres Structure 1,6057,948,5.266956522,9,424,44,14200
51 Westleigh Cres Structure 2,3759,588,3.268695652,10,263,28,9800
68 Westleigh Cres Structure 2,1164,182,1.012173913,10,81,10,3000
53 Westleigh Cres Structure 1,5282,827,4.593043478,10,370,42,13800
64 Westleigh Cres Structure 2,1947,305,1.693043478,10,136,16,5100
16 Sunset Ave Structure 2,2034,318,1.768695652,10,142,17,5300
31 Sunset Ave Structure 2,1880,294,1.634782609,10,132,14,4900
14 Sunset Ave Structure 1,5520,864,4.8,10,386,40,14400
12 Sunset Ave Structure 1,5121,801,4.453043478,10,358,39,13400
10 Sunset Ave Structure 1,3737,585,3.249565217,10,262,27,9700
8 Sunset Ave Structure 1,4772,747,4.149565217,10,334,35,12400
8 Sunset Ave Structure 2,3659,573,3.18173913,10,256,30,9500
69 Albright Ave Structure 2,3174,497,2.76,10,222,26,8300
71 Albright Ave Structure 1,4157,651,3.614782609,10,291,30,10800
33 Sunset Ave Structure 2,3629,568,3.155652174,10,254,27,9500
64 Woodbury Rd Structure 1,4808,752,4.180869565,10,337,40,12500
71 Woodbury Rd Structure 1,4558,713,3.963478261,10,319,30,11900
71 Woodbury Rd Structure 2,3244,508,2.820869565,10,227,26,8500
39 Sunset Ave Structure 1,5837,913,5.075652174,9,409,43,13700
47 Sunset Ave Structure 1,4111,643,3.574782609,10,288,31,10700
73 Roseland Dr Structure 2,2634,412,2.290434783,10,184,22,6900
75 Burlingame Rd Structure 1,5823,911,5.063478261,9,408,44,13700
75 Burlingame Rd Structure 2,2038,319,1.772173913,10,143,17,5300
73 Burlingame Rd Structure 1,4843,758,4.211304348,10,339,42,12600
71 Roseland Dr Structure 1,4614,722,4.012173913,10,323,33,12000
71 Roseland Dr Structure 2,3820,598,3.32173913,10,267,30,10000
69 Roseland Dr Structure 1,1667,261,1.449565217,10,117,13,4300
67 Roseland Dr Structure 1,3731,584,3.244347826,10,261,33,9700
71 Burlingame Rd Structure 1,5995,938,5.213043478,9,420,52,14100
67 Burlingame Rd Structure 1,4742,742,4.123478261,10,332,42,12400
60A Burlingame Rd Structure 1,2318,363,2.015652174,10,162,20,6000
58 Burlingame Rd Structure 2,3189,499,2.773043478,10,223,26,8300
567 Horner Ave Structure 2,1849,289,1.607826087,10,129,16,4800
569 Horner Ave Structure 1,4894,766,4.255652174,10,343,37,12800
571 Horner Ave Structure 1,4318,676,3.754782609,10,302,33,11300
64 Burlingame Rd Structure 1,2863,448,2.489565217,10,200,24,7500
68 Burlingame Rd Structure 2,3071,481,2.670434783,10,215,24,8000
573 Horner Ave Structure 1,5649,884,4.912173913,10,395,46,14700
575A Horner Ave Structure 1,5959,933,5.18173913,9,417,49,14000
579 Horner Ave Structure 2,1455,228,1.265217391,10,102,12,3800
75A Burlingame Rd Structure 1,5505,862,4.786956522,10,385,43,14400
75A Burlingame Rd Structure 2,1875,293,1.630434783,10,131,16,4900
74 Roseland Dr Structure 1,5848,915,5.085217391,9,409,46,13700
75 Roseland Dr Structure 1,5160,808,4.486956522,10,361,42,13500
76 Roseland Dr Structure 2,1641,257,1.426956522,10,115,13,4300
78 Roseland Dr Structure 1,5403,846,4.69826087,10,378,45,14100
79 Burlingame Rd Structure 1,3267,511,2.840869565,10,229,28,8500
4 Westleigh Cres Structure 2,1606,251,1.396521739,10,112,12,4200
76 Burlingame Rd Structure 2,3604,564,3.133913043,10,252,28,9400
74 Burlingame Rd Structure 2,2844,445,2.473043478,10,199,22,7400
7 Chelsea Dr Structure 1,1486,233,1.292173913,10,104,13,3900
5 Chelsea Dr Structure 1,1377,216,1.197391304,10,96,12,3600
4 Chelsea Dr Structure 1,5200,814,4.52173913,10,364,40,13600
4 Chelsea Dr Structure 2,2243,351,1.950434783,10,157,19,5900
6 Chelsea Dr Structure 2,2727,427,2.371304348,10,191,20,7100
8 Chelsea Dr Structure 1,1221,191,1.06173913,10,85,10,3200
8 Chelsea Dr Structure 2,1759,275,1.529565217,10,123,13,4600
9 Chelsea Dr Structure 1,1160,182,1.008695652,10,81,10,3000
21 Chelsea Dr Structure 1,4183,655,3.637391304,10,293,31,10900
21 Chelsea Dr Structure 2,2305,361,2.004347826,10,161,19,6000
23 Chelsea Dr Structure 1,6117,957,5.319130435,9,428,50,14400
2 Dalston Rd Structure 1,2208,346,1.92,10,155,19,5800
10 Chelsea Dr Structure 1,3130,490,2.72173913,10,219,23,8200
10 Chelsea Dr Structure 2,1475,231,1.282608696,10,103,12,3800
7 Heslop Dr Structure 1,4018,629,3.493913043,10,281,34,10500
24 Heslop Dr Structure 1,4547,712,3.953913043,10,318,38,11900
9 Heslop Dr Structure 1,3272,512,2.845217391,10,229,23,8500
20 Heslop Dr Structure 1,5224,818,4.542608696,10,366,44,13600
3 Heslop Dr Structure 1,4897,766,4.25826087,10,343,40,12800
1 Heslop Dr Structure 1,5626,880,4.892173913,10,394,44,14700
1 Heslop Dr Structure 2,3606,564,3.135652174,10,252,32,9400
4 Heslop Dr Structure 1,3766,589,3.274782609,10,264,32,9800
568 Horner Ave Structure 1,3616,566,3.144347826,10,253,24,9400
570 Horner Ave Structure 1,4429,693,3.851304348,10,310,40,11600
12 Delma Dr Structure 2,4169,652,3.625217391,10,292,34,10900
550 Horner Ave Structure 1,2966,464,2.579130435,10,208,25,7700
14 Delma Dr Structure 1,4917,770,4.275652174,10,344,37,12800
16 Delma Dr Structure 1,1832,287,1.593043478,10,128,16,4800
9 Delma Dr Structure 1,3641,570,3.166086957,10,255,31,9500
11 Delma Dr Structure 2,3415,534,2.969565217,10,239,25,8900
15 Delma Dr Structure 1,4814,753,4.186086957,10,337,35,12600
22 Delma Dr Structure 1,6276,982,5.457391304,9,439,47,14700
6 Heslop Dr Structure 1,2510,393,2.182608696,10,176,22,6500
10 Heslop Dr Structure 1,1222,191,1.062608696,10,86,10,3200
14 Heslop Dr Structure 2,2236,350,1.944347826,10,157,20,5800
16 Heslop Dr Structure 1,3965,621,3.447826087,10,278,37,10300
26 Delma Dr Structure 2,1990,311,1.730434783,10,139,15,5200
23 Delma Dr Structure 2,1518,238,1.32,10,106,11,4000
27 Delma Dr Structure 2,2904,454,2.525217391,10,203,20,7600
25 Delma Dr Structure 1,6243,977,5.428695652,9,437,46,14700
34 Eltham Dr Structure 1,3526,552,3.066086957,10,247,24,9200
34 Eltham Dr Structure 2,2770,434,2.408695652,10,194,22,7200
36 Eltham Dr Structure 2,1339,210,1.164347826,10,94,12,3500
38 Eltham Dr Structure 1,3600,563,3.130434783,10,252,25,9400
38 Eltham Dr Structure 2,2986,467,2.596521739,10,209,24,7800
32 Eltham Dr Structure 1,3384,530,2.942608696,10,237,24,8800
34 Delma Dr Structure 2,1607,251,1.397391304,10,112,10,4200
24 Eltham Dr Structure 2,2647,414,2.30173913,10,185,20,6900
22 Eltham Dr Structure 1,3498,547,3.04173913,10,245,24,9100
22 Eltham Dr Structure 2,1466,229,1.274782609,10,103,11,3800
18 Eltham Dr Structure 1,3245,508,2.82173913,10,227,27,8500
18 Eltham Dr Structure 2,5038,788,4.380869565,10,353,36,13100
16 Eltham Dr Structure 2,1407,220,1.223478261,10,98,11,3700
12 Eltham Dr Structure 1,3428,536,2.980869565,10,240,25,8900
17 Eltham Dr Structure 1,4389,687,3.816521739,10,307,30,11400
15 Eltham Dr Structure 1,5631,881,4.896521739,10,394,40,14700
15 Eltham Dr Structure 2,1598,250,1.389565217,10,112,14,4200
18 Heslop Dr Structure 1,1794,281,1.56,10,126,15,4700
18 Heslop Dr Structure 2,2166,339,1.883478261,10,152,18,5700
11 Eltham Dr Structure 1,2941,460,2.557391304,10,206,21,7700
5 Dalston Rd Structure 1,5600,876,4.869565217,10,392,45,14600
5 Dalston Rd Structure 2,2024,317,1.76,10,142,15,5300
4 Eltham Dr Structure 1,2988,468,2.59826087,10,209,25,7800
9 Eltham Dr Structure 1,4192,656,3.645217391,10,293,32,10900
3 Dalston Rd Structure 1,5079,795,4.416521739,10,356,37,13200
4 Dalston Rd Structure 1,2321,363,2.01826087,10,162,20,6100
6 Dalston Rd Structure 1,1581,247,1.374782609,10,111,11,4100
6 Dalston Rd Structure 2,1181,185,1.026956522,10,83,9,3100
1 Eltham Dr Structure 1,5653,885,4.915652174,10,396,41,14700
15 Fulham Dr Structure 1,4153,650,3.611304348,10,291,30,10800
6 Eltham Dr Structure 1,3367,527,2.927826087,10,236,25,8800
6 Eltham Dr Structure 2,1300,203,1.130434783,10,91,12,3400
8 Eltham Dr Structure 1,2721,426,2.366086957,10,190,22,7100
10 Eltham Dr Structure 1,1336,209,1.16173913,10,94,12,3500
10 Eltham Dr Structure 2,4237,663,3.684347826,10,297,33,11100
17 Fulham Dr Structure 1,5316,832,4.622608696,10,372,43,13900
17 Fulham Dr Structure 2,1660,260,1.443478261,10,116,12,4300
25 Fulham Dr Structure 1,1597,250,1.388695652,10,112,14,4200
25 Fulham Dr Structure 2,1384,217,1.203478261,10,97,11,3600
21 Fulham Dr Structure 1,3529,552,3.068695652,10,247,28,9200
23 Fulham Dr Structure 1,3672,575,3.193043478,10,257,27,9600
27 Fulham Dr Structure 1,3096,485,2.692173913,10,217,26,8100
27 Fulham Dr Structure 2,1675,262,1.456521739,10,117,14,4400
26 Fulham Dr Structure 1,4638,726,4.033043478,10,325,36,12100
26 Fulham Dr Structure 2,1445,226,1.256521739,10,101,12,3800
47 Westhead Rd Structure 1,4929,771,4.286086957,10,345,36,12900
15 Highbury Dr Structure 1,2828,443,2.459130435,10,198,23,7400
18 Fulham Dr Structure 1,4602,720,4.00173913,10,322,32,12000
39 Westhead Rd Structure 1,5305,830,4.613043478,10,371,43,13800
39 Westhead Rd Structure 2,1446,226,1.257391304,10,101,10,3800
37 Westhead Rd Structure 2,1496,234,1.300869565,10,105,12,3900
35 Westhead Rd Structure 2,2309,361,2.007826087,10,162,18,6000
33 Westhead Rd Structure 2,1753,274,1.524347826,10,123,14,4600
10 Fulham Dr Structure 1,4600,720,4,10,322,32,12000
12 Fulham Dr Structure 1,5249,821,4.564347826,10,367,42,13700
2 Eltham Dr Structure 1,3424,536,2.977391304,10,240,24,8900
14 Fulham Dr Structure 1,3753,587,3.263478261,10,263,31,9800
8 Fulham Dr Structure 1,2190,343,1.904347826,10,153,19,5700
2 Fulham Dr Structure 1,3339,523,2.903478261,10,234,22,8700
4 Fulham Dr Structure 1,3746,586,3.257391304,10,262,26,9800
6 Fulham Dr Structure 1,2786,436,2.422608696,10,195,23,7300
19 Chelsea Dr Structure 2,3960,620,3.443478261,10,277,33,10300
17 Chelsea Dr Structure 1,3225,505,2.804347826,10,226,27,8400
11 Chelsea Dr Structure 1,1157,181,1.006086957,10,81,10,3000
11 Westhead Rd Structure 1,3597,563,3.127826087,10,252,29,9400
13 Westhead Rd Structure 1,4087,640,3.553913043,10,286,32,10700
17 Westhead Rd Structure 1,3527,552,3.066956522,10,247,28,9200
15 Westhead Rd Structure 1,5288,828,4.59826087,10,370,40,13800
16 Westhead Rd Structure 1,4931,772,4.287826087,10,345,38,12900
14 Westhead Rd Structure 1,3821,598,3.322608696,10,267,28,10000
19 Westhead Rd Structure 1,4397,688,3.823478261,10,308,32,11500
21 Westhead Rd Structure 1,5231,819,4.548695652,10,366,38,13600
27 Westhead Rd Structure 1,4941,773,4.296521739,10,346,36,12900
25 Westhead Rd Structure 1,2290,358,1.991304348,10,160,18,6000
23 Westhead Rd Structure 1,5122,802,4.453913043,10,359,36,13400
29 Westhead Rd Structure 1,3727,583,3.240869565,10,261,28,9700
4 Aintree Crt Structure 2,4686,733,4.074782609,10,328,40,12200
6 Aintree Crt Structure 1,5895,923,5.126086957,9,413,48,13800
14 Dunning Cres Structure 1,3830,599,3.330434783,10,268,34,10000
10 Dunning Cres Structure 1,1905,298,1.656521739,10,133,18,5000
12 Dunning Cres Structure 1,3540,554,3.07826087,10,248,32,9200
16 Dunning Cres Structure 1,6223,974,5.411304348,9,436,51,14600
18 Dunning Cres Structure 1,6219,973,5.407826087,9,435,51,14600
22 Dunning Cres Structure 1,6243,977,5.428695652,9,437,48,14700
9 Dunning Cres Structure 1,5519,864,4.799130435,10,386,43,14400
26 Dunning Cres Structure 1,5719,895,4.973043478,10,400,45,14900
26 Dunning Cres Structure 2,1643,257,1.428695652,10,115,13,4300
28 Dunning Cres Structure 1,6207,971,5.397391304,9,434,50,14600
19 Dunning Cres Structure 2,1761,276,1.531304348,10,123,13,4600
17 Dunning Cres Structure 1,6039,945,5.251304348,9,423,45,14200
36 Westhead Rd Structure 1,5963,933,5.185217391,9,417,47,14000
43 Westhead Rd Structure 1,4363,683,3.793913043,10,305,34,11400
45 Westhead Rd Structure 1,2085,326,1.813043478,10,146,18,5400
40 Westhead Rd Structure 2,2392,374,2.08,10,167,18,6200
27 Dunning Cres Structure 2,1562,244,1.35826087,10,109,10,4100
51 Westhead Rd Structure 1,5750,900,5,10,403,43,15000
53 Westhead Rd Structure 2,1222,191,1.062608696,10,86,9,3200
21 Dunning Cres Structure 1,6169,965,5.364347826,9,432,45,14500
34 Dunning Cres Structure 1,5754,901,5.003478261,9,403,48,13500
40 Dunning Cres Structure 2,1228,192,1.067826087,10,86,10,3200
42 Dunning Cres Structure 1,5784,905,5.029565217,9,405,44,13600
52 Westhead Rd Structure 2,1932,302,1.68,10,135,16,5000
54 Westhead Rd Structure 1,6192,969,5.384347826,9,433,46,14500
62 Westhead Rd Structure 1,6114,957,5.316521739,9,428,50,14400
71 Westhead Rd Structure 1,4005,627,3.482608696,10,280,30,10400
67 Westhead Rd Structure 1,3543,554,3.080869565,10,248,30,9200
26 Putney Rd Structure 2,1156,181,1.005217391,10,81,11,3000
22 Putney Rd Structure 2,2134,334,1.855652174,10,149,16,5600
24 Putney Rd Structure 1,5199,814,4.520869565,10,364,43,13600
24 Putney Rd Structure 2,1948,305,1.693913043,10,136,15,5100
27 Putney Rd Structure 1,3017,472,2.623478261,10,211,26,7900
29 Putney Rd Structure 1,4548,712,3.954782609,10,318,35,11900
50 Westhead Rd Structure 1,5522,864,4.80173913,10,387,44,14400
44 Dunning Cres Structure 1,5444,852,4.733913043,10,381,45,14200
65 Westhead Rd Structure 1,6008,940,5.224347826,9,421,45,14100
63 Westhead Rd Structure 1,6263,980,5.446086957,9,438,46,14700
63 Westhead Rd Structure 2,6081,952,5.287826087,9,426,47,14300
57 Westhead Rd Structure 1,5694,891,4.951304348,10,399,43,14900
59 Westhead Rd Structure 1,5872,919,5.106086957,9,411,45,13800
59 Westhead Rd Structure 2,2823,442,2.454782609,10,198,22,7400
38 Fulham Dr Structure 1,1294,203,1.125217391,10,91,12,3400
28 Fulham Dr Structure 1,3563,558,3.09826087,10,249,29,9300
28 Fulham Dr Structure 2,2586,405,2.248695652,10,181,20,6700
32 Fulham Dr Structure 1,4923,770,4.280869565,10,345,37,12800
2 Mitcham Dr Structure 1,1901,298,1.653043478,10,133,16,5000
2 Mitcham Dr Structure 2,3172,496,2.75826087,10,222,24,8300
4 Mitcham Dr Structure 1,2770,434,2.408695652,10,194,22,7200
4 Mitcham Dr Structure 2,1347,211,1.171304348,10,94,11,3500
40 Fulham Dr Structure 2,2258,353,1.963478261,10,158,19,5900
36 Fulham Dr Structure 1,4496,704,3.909565217,10,315,36,11700
9 Putney Rd Structure 1,4380,685,3.808695652,10,307,30,11400
9 Putney Rd Structure 2,1508,236,1.311304348,10,106,12,3900
7 Putney Rd Structure 1,4260,667,3.704347826,10,298,29,11100
17 Putney Rd Structure 1,4982,780,4.332173913,10,349,36,13000
19 Putney Rd Structure 1,2904,454,2.525217391,10,203,22,7600
21 Putney Rd Structure 1,5785,905,5.030434783,9,405,46,13600
23 Putney Rd Structure 1,5528,865,4.806956522,10,387,47,14400
20 Putney Rd Structure 1,3209,502,2.790434783,10,225,23,8400
20 Putney Rd Structure 2,1826,286,1.587826087,10,128,14,4800
23 Thames Ave Structure 1,2746,430,2.387826087,10,192,20,7200
21 Thames Ave Structure 1,3258,510,2.833043478,10,228,26,8500
16 Putney Rd Structure 2,1505,236,1.308695652,10,105,12,3900
18 Putney Rd Structure 1,2754,431,2.394782609,10,193,22,7200
12 Putney Rd Structure 2,3550,556,3.086956522,10,249,28,9300
10 Putney Rd Structure 1,4988,781,4.337391304,10,349,33,13000
10 Putney Rd Structure 2,1392,218,1.210434783,10,97,11,3600
4 Putney Rd Structure 1,3867,605,3.362608696,10,271,26,10100
15 Thames Ave Structure 1,4835,757,4.204347826,10,338,33,12600
15 Thames Ave Structure 2,1677,262,1.45826087,10,117,15,4400
7 Thames Ave Structure 1,5608,878,4.876521739,10,393,39,14600
7 Thames Ave Structure 2,2021,316,1.757391304,10,141,16,5300
3 Thames Ave Structure 1,3776,591,3.283478261,10,264,24,9900
3 Thames Ave Structure 2,1430,224,1.243478261,10,100,12,3700
11 Thames Ave Structure 1,6165,965,5.360869565,9,432,49,14500
17 Thames Ave Structure 1,5238,820,4.554782609,10,367,39,13700
19 Thames Ave Structure 1,1213,190,1.054782609,10,85,10,3200
22 Thames Ave Structure 2,2386,373,2.074782609,10,167,20,6200
26 Thames Ave Structure 1,4662,730,4.053913043,10,326,38,12200
28 Thames Ave Structure 2,2426,380,2.109565217,10,170,18,6300
30 Thames Ave Structure 2,2913,456,2.533043478,10,204,22,7600
32 Thames Ave Structure 2,3494,547,3.03826087,10,245,27,9100
29 Thames Ave Structure 2,5749,900,4.999130435,10,402,42,15000
31 Thames Ave Structure 1,5218,817,4.537391304,10,365,40,13600
31 Thames Ave Structure 2,1890,296,1.643478261,10,132,14,4900
34 Thames Ave Structure 1,5597,876,4.866956522,10,392,48,14600
34 Thames Ave Structure 2,2478,388,2.154782609,10,173,20,6500
79 Westhead Rd Structure 2,4663,730,4.054782609,10,326,34,12200
68 Westhead Rd Structure 1,1642,257,1.427826087,10,115,15,4300
70 Westhead Rd Structure 1,1884,295,1.63826087,10,132,16,4900
83 Westhead Rd Structure 2,1655,259,1.439130435,10,116,12,4300
82 Westhead Rd Structure 1,5290,828,4.6,10,370,38,13800
82 Westhead Rd Structure 2,1400,219,1.217391304,10,98,12,3700
84 Westhead Rd Structure 1,5570,872,4.843478261,10,390,40,14500
89 Westhead Rd Structure 3,1429,224,1.242608696,10,100,10,3700
85 Savona Dr Structure 1,4748,743,4.128695652,10,332,38,12400
77 Savona Dr Structure 2,1616,253,1.405217391,10,113,14,4200
81 Savona Dr Structure 1,2936,459,2.553043478,10,206,24,7700
83 Savona Dr Structure 1,5035,788,4.37826087,10,352,43,13100
70 Savona Dr Structure 1,5753,900,5.002608696,9,403,46,13500
70 Savona Dr Structure 2,1462,229,1.271304348,10,102,12,3800
66 Savona Dr Structure 1,5452,853,4.740869565,10,382,44,14200
95 Westhead Rd Structure 1,5736,898,4.987826087,10,402,42,15000
93 Westhead Rd Structure 1,6196,970,5.387826087,9,434,49,14500
93 Westhead Rd Structure 2,1528,239,1.328695652,10,107,14,4000
91 Westhead Rd Structure 1,1904,298,1.655652174,10,133,16,5000
90 Westhead Rd Structure 1,5481,858,4.766086957,10,384,42,14300
97 Westhead Rd Structure 2,4011,628,3.487826087,10,281,30,10500
99 Westhead Rd Structure 1,6172,966,5.366956522,9,432,44,14500
99 Westhead Rd Structure 2,1732,271,1.506086957,10,121,12,4500
101 Westhead Rd Structure 1,5167,809,4.493043478,10,362,38,13500
103 Westhead Rd Structure 1,3551,556,3.087826087,10,249,27,9300
105 Westhead Rd Structure 1,4790,750,4.165217391,10,335,34,12500
107 Westhead Rd Structure 1,3973,622,3.454782609,10,278,31,10400
24 Helsby Cres Structure 2,5034,788,4.377391304,10,352,38,13100
14 Helsby Cres Structure 1,4805,752,4.17826087,10,336,42,12500
58 Savona Dr Structure 2,1212,190,1.053913043,10,85,10,3200
54 Savona Dr Structure 1,5044,789,4.386086957,10,353,43,13200
54 Savona Dr Structure 2,2757,431,2.397391304,10,193,24,7200
6 Rufford Rd Structure 2,1600,250,1.391304348,10,112,12,4200
52 Savona Dr Structure 2,2431,380,2.113913043,10,170,18,6300
10 Rufford Rd Structure 2,1566,245,1.36173913,10,110,13,4100
12 Rufford Rd Structure 2,2170,340,1.886956522,10,152,16,5700
3 Rufford Rd Structure 2,1910,299,1.660869565,10,134,13,5000
50 Savona Dr Structure 2,2408,377,2.093913043,10,169,20,6300
48 Savona Dr Structure 2,2292,359,1.993043478,10,160,18,6000
55 Savona Dr Structure 1,5448,853,4.737391304,10,381,48,14200
49 Savona Dr Structure 2,2885,452,2.508695652,10,202,25,7500
2 Thames Ave Structure 1,2409,377,2.094782609,10,169,19,6300
2 Thames Ave Structure 2,1872,293,1.627826087,10,131,16,4900
4 Thames Ave Structure 1,6256,979,5.44,9,438,44,14700
4 Thames Ave Structure 2,2466,386,2.144347826,10,173,20,6400
6 Thames Ave Structure 1,2484,389,2.16,10,174,19,6500
6 Thames Ave Structure 2,2304,361,2.003478261,10,161,20,6000
57 Savona Dr Structure 1,5861,917,5.096521739,9,410,50,13800
61 Savona Dr Structure 2,1984,310,1.725217391,10,139,16,5200
63 Savona Dr Structure 2,2024,317,1.76,10,142,17,5300
